LEGONo,Color,C,M,Y,K,Sample,R,G,B,,Pantone
210,Faded green,67,17,65,8,,112,149,120,,364 C
211,Turquoise,64,0,34,0,,121,181,181,,3255 C
212,Light Royal blue,43,8,0,0,,159,195,233,,292 C
213,Medium Royal blue,68,43,0,0,,108,129,183,,2727 C
216,Rust,18,82,97,30,,143,76,42,,174 C
217,Brown,39,65,80,30,,124,92,69,,161 C
218,Reddish lilac,40,66,4,0,,150,112,159,,2573 C
219,Lilac,67,67,0,0,,107,98,155,,2725 C
220,Light lilac,36,30,0,0,,167,169,206,,2716 C
221,Bright purple,2,79,0,0,,205,98,152,,232 C
222,Light purple,0,40,0,0,,228,173,200,,236 C
223,Light pink,0,55,30,0,,220,144,149,,183 C
224,Light brick yellow,3,17,44,0,,240,213,160,,7501 C
225,Warm yellowish orange,0,32,59,0,,235,184,127,,713 C
226,Cool yellow,0,7,59,0,,253,234,140,,120 C
232,Dove blue,60,0,10,0,,125,187,221,,311 C
268,Medium lilac,95,95,0,0,,52,43,117,,2685 C
40,Transparent,0,0,0,8,,236,236,236,,CoolGrey 1 C
41,Tr. Red,0,85,75,0,,205,84,75,,185 C
42,Tr. Lg blue,27,0,5,0,,193,223,240,,304 C
43,Tr. Blue,60,5,0,0,,123,182,232,,298 C
44,Tr. Yellow,5,0,60,0,,247,241,141,,393 C
47,Tr. Flu. Reddish orange,0,60,60,0,,217,133,108,,165 C
48,Tr. Green,60,0,60,0,,132,182,141,,360 C
49,Tr. Flu. Green,5,0,65,0,,248,241,132,,387 C
50,Phosph. White,7,7,12,0,,236,232,222,,427 C
111,Tr. Brown,25,25,28,0,,191,183,177,,WarmGrey 3 C
113,Tr. Medi. reddish violet,0,40,0,0,,228,173,200,,230 C
126,Tr. Bright bluish violet,37,32,0,0,,165,165,203,,271 C
133,Neon orange,0,70,90,0,,213,115,61,,165 C
134,Neon green,20,0,90,0,,216,221,86,,374 C
143,Tr. Flu. Blue,20,3,0,0,,207,226,247,,657 C
157,Tr. Flu. Yellow,0,0,70,0,,255,246,123,,395 C
158,Tr. Flu. Red,0,45,0,0,,225,164,194,,211 C
176,Red flip/flop,40,70,70,0,,151,105,91,,483 C
178,Yellow flip/flop,25,55,80,5,,180,132,85,,160 C
179,Silver flip/flop,50,42,43,5,,137,135,136,,410 C
